ModelNo=C11351
SerialNo=413V0030
Date=5/27/2014 1:53:57 PM
ExposureTime=100
Gain=0
WavelengthConversionFactorA0=+3.238245829e+002
WavelengthConversionFactorB1=+1.884467713e+000
WavelengthConversionFactorB2=-3.994129814e-005
WavelengthConversionFactorB3=-2.429664474e-006
WavelengthConversionFactorB4=-1.357312974e-009
WavelengthConversionFactorB5=+7.725372773e-012
AverageCount=1
DataNum=1
WaveLength,Average,1
325.709008240688,17943,17943
327.593339102022,17867,17867
329.477560858311,17783,17783
331.361658853142,17629,17629
333.245618400308,17491,17491
335.129424784735,17265,17265
337.013063263408,17082,17082
338.896519066299,16935,16935
340.779777397294,16862,16862
342.66282343512,16696,16696
344.54564233427,16593,16593
346.428219225935,16484,16484
348.310539218926,16301,16301
350.192587400604,16274,16274
352.074348837804,16333,16333
353.955808577768,16497,16497
355.836951649064,16754,16754
357.717763062521,17051,17051
359.598227812148,17406,17406
361.478330876069,17599,17599
363.358057217445,17623,17623
365.237391785401,17526,17526
367.116319515958,17544,17544
368.994825332952,17640,17640
370.872894148969,17824,17824
372.750510866267,17767,17767
374.627660377705,17856,17856
376.50432756767,18257,18257
378.380497313002,18506,18506
380.256154483925,18820,18820
382.131283944971,19140,19140
384.005870555907,19181,19181
385.879899172664,19608,19608
387.753354648261,19728,19728
389.626221833737,20553,20553
391.498485579073,21446,21446
393.370130734122,22425,22425
395.241142149533,23934,23934
397.111504677682,25118,25118
398.981203173599,26737,26737
400.850222495888,27684,27684
402.718547507665,28619,28619
404.586163077475,29464,29464
406.453054080226,30336,30336
408.319205398112,31112,31112
410.184601921542,31574,31574
412.049228550067,32045,32045
413.913070193305,32067,32067
415.776111771872,31998,31998
417.638338218304,31798,31798
419.499734477988,31410,31410
421.360285510089,31083,31083
423.219976288472,31233,31233
425.078791802637,31775,31775
426.93671705864,32660,32660
428.793737080021,33585,33585
430.649836908734,34955,34955
432.50500160607,36946,36946
434.359216253587,38463,38463
436.212465954037,39833,39833
438.064735832291,41000,41000
439.916011036266,42434,42434
441.766276737856,43618,43618
443.615518133854,44144,44144
445.463720446883,44485,44485
447.310868926319,44851,44851
449.156948849224,44938,44938
451.001945521265,44879,44879
452.845844277649,44726,44726
454.688630484046,44844,44844
456.530289537514,44972,44972
458.370806867433,45062,45062
460.210167936423,45335,45335
462.048358241279,45777,45777
463.885363313893,46299,46299
465.721168722184,46939,46939
467.555760071023,47786,47786
469.389123003162,48791,48791
471.221243200158,49730,49730
473.052106383304,50548,50548
474.881698314552,50875,50875
476.710004797444,50733,50733
478.537011678036,50702,50702
480.362704845827,50621,50621
482.187070234684,50449,50449
484.010093823771,50288,50288
485.831761638476,50345,50345
487.652059751335,50819,50819
489.470974282965,51195,51195
491.288491402983,51162,51162
493.104597330941,51188,51188
494.919278337249,51348,51348
496.732520744101,51526,51526
498.544310926404,51778,51778
500.354635312706,52237,52237
502.163480386121,52867,52867
503.970832685255,53502,53502
505.776678805139,53855,53855
507.581005398146,53961,53961
509.38379917493,54166,54166
511.185046905342,54602,54602
512.984735419365,55054,55054
514.782851608036,55652,55652
516.579382424377,56148,56148
518.374314884318,56975,56975
520.167636067628,57898,57898
521.95933311884,58449,58449
523.749393248176,58686,58686
525.537803732478,58810,58810
527.324551916135,58820,58820
529.109625212005,58798,58798
530.893011102348,58478,58478
532.674697139749,57796,57796
534.454670948047,57201,57201
536.232920223261,56624,56624
538.009432734519,56037,56037
539.784196324983,55627,55627
541.557198912774,55361,55361
543.328428491907,55238,55238
545.097873133209,55101,55101
546.865520985249,54933,54933
548.63136027527,54636,54636
550.395379310108,54444,54444
552.157566477125,54218,54218
553.917910245133,54046,54046
555.676399165323,53817,53817
557.43302187219,53573,53573
559.187767084461,53334,53334
560.940623606025,53260,53260
562.691580326852,53353,53353
564.440626223931,53379,53379
566.187750362187,53439,53439
567.932941895415,53456,53456
569.676190067202,53444,53444
571.417484211859,53509,53509
573.156813755343,53533,53533
574.894168216189,53443,53443
576.629537206433,53141,53141
578.362910432541,52711,52711
580.094277696335,51991,51991
