ModelNo=C11351
SerialNo=413V0030
Date=5/21/2014 2:06:55 PM
ExposureTime=100
Gain=0
WavelengthConversionFactorA0=+3.238245829e+002
WavelengthConversionFactorB1=+1.884467713e+000
WavelengthConversionFactorB2=-3.994129814e-005
WavelengthConversionFactorB3=-2.429664474e-006
WavelengthConversionFactorB4=-1.357312974e-009
WavelengthConversionFactorB5=+7.725372773e-012
AverageCount=1
DataNum=1
WaveLength,Average,1
325.709008240688,9534,9534
327.593339102022,9515,9515
329.477560858311,9531,9531
331.361658853142,9530,9530
333.245618400308,9536,9536
335.129424784735,9494,9494
337.013063263408,9518,9518
338.896519066299,9513,9513
340.779777397294,9523,9523
342.66282343512,9489,9489
344.54564233427,9502,9502
346.428219225935,9484,9484
348.310539218926,9485,9485
350.192587400604,9463,9463
352.074348837804,9460,9460
353.955808577768,9480,9480
355.836951649064,9580,9580
357.717763062521,9577,9577
359.598227812148,9576,9576
361.478330876069,9570,9570
363.358057217445,9558,9558
365.237391785401,9564,9564
367.116319515958,9473,9473
368.994825332952,9443,9443
370.872894148969,9452,9452
372.750510866267,9459,9459
374.627660377705,9444,9444
376.50432756767,9443,9443
378.380497313002,9447,9447
380.256154483925,9448,9448
382.131283944971,9432,9432
384.005870555907,9429,9429
385.879899172664,9453,9453
387.753354648261,9405,9405
389.626221833737,9435,9435
391.498485579073,9452,9452
393.370130734122,9590,9590
395.241142149533,9826,9826
397.111504677682,9856,9856
398.981203173599,9865,9865
400.850222495888,9860,9860
402.718547507665,9870,9870
404.586163077475,9817,9817
406.453054080226,9550,9550
408.319205398112,9536,9536
410.184601921542,9547,9547
412.049228550067,9567,9567
413.913070193305,9550,9550
415.776111771872,9603,9603
417.638338218304,9617,9617
419.499734477988,9651,9651
421.360285510089,9685,9685
423.219976288472,9794,9794
425.078791802637,11378,11378
426.93671705864,11816,11816
428.793737080021,11912,11912
430.649836908734,11953,11953
432.50500160607,11953,11953
434.359216253587,11953,11953
436.212465954037,10820,10820
438.064735832291,10042,10042
439.916011036266,9950,9950
441.766276737856,9986,9986
443.615518133854,9958,9958
445.463720446883,9961,9961
447.310868926319,9946,9946
449.156948849224,9924,9924
451.001945521265,9906,9906
452.845844277649,9899,9899
454.688630484046,9891,9891
456.530289537514,9889,9889
458.370806867433,9869,9869
460.210167936423,9862,9862
462.048358241279,9861,9861
463.885363313893,9821,9821
465.721168722184,9833,9833
467.555760071023,9835,9835
469.389123003162,9834,9834
471.221243200158,9896,9896
473.052106383304,10071,10071
474.881698314552,10400,10400
476.710004797444,10781,10781
478.537011678036,11166,11166
480.362704845827,11476,11476
482.187070234684,11692,11692
484.010093823771,11766,11766
485.831761638476,11645,11645
487.652059751335,11376,11376
489.470974282965,11022,11022
491.288491402983,10702,10702
493.104597330941,10424,10424
494.919278337249,10160,10160
496.732520744101,9962,9962
498.544310926404,9800,9800
500.354635312706,9675,9675
502.163480386121,9612,9612
503.970832685255,9581,9581
505.776678805139,9570,9570
507.581005398146,9538,9538
509.38379917493,9536,9536
511.185046905342,9536,9536
512.984735419365,9513,9513
514.782851608036,9504,9504
516.579382424377,9513,9513
518.374314884318,9511,9511
520.167636067628,9522,9522
521.95933311884,9576,9576
523.749393248176,9639,9639
525.537803732478,9780,9780
527.324551916135,10118,10118
529.109625212005,10798,10798
530.893011102348,12278,12278
532.674697139749,14176,14176
534.454670948047,16075,16075
536.232920223261,17315,17315
538.009432734519,17941,17941
539.784196324983,18083,18083
541.557198912774,17464,17464
543.328428491907,15919,15919
545.097873133209,14029,14029
546.865520985249,12426,12426
548.63136027527,11403,11403
550.395379310108,10745,10745
552.157566477125,10248,10248
553.917910245133,9912,9912
555.676399165323,9725,9725
557.43302187219,9661,9661
559.187767084461,9605,9605
560.940623606025,9602,9602
562.691580326852,9597,9597
564.440626223931,9708,9708
566.187750362187,9854,9854
567.932941895415,10087,10087
569.676190067202,10363,10363
571.417484211859,10713,10713
573.156813755343,11089,11089
574.894168216189,11467,11467
576.629537206433,11810,11810
578.362910432541,11990,11990
580.094277696335,12060,12060
581.823628895922,12048,12048
583.550954026618,11888,11888
585.27624318188,11655,11655
586.999486554225,11378,11378
